name,school,class_year,position,height,weight,age,ppg,rpg,apg,fg_pct,fg3_pct,ft_pct,espn_id,headshot_url,projected_range,notes
AJ Dybantsa,BYU,Fr,SF,6-9,210,18.8,,,,,,,,,#1-3,
Cameron Boozer,Duke,Fr,PF,6-9,250,18.5,,,,,,,,,#1-4,
Darryn Peterson,Kansas,Fr,SG,6-6,195,18.9,,,,,,,,,#1-3,
Nate Ament,Tennessee,Fr,SF,6-10,185,18.7,,,,,,,,,#3-8,
Mikel Brown Jr.,Louisville,Fr,PG,6-3,170,18.9,,,,,,,,,#5-12,
Karter Knox,Arkansas,So,SG,6-6,210,19.6,,,,,,,,,#10-20,
Tahaad Pettiford,Auburn,So,PG,6-1,175,19.4,,,,,,,,,#8-18,
Labaron Philon,Alabama,So,PG,6-4,177,19.3,,,,,,,,,#10-22,
Koa Peat,Arizona,Fr,PF,6-8,235,18.6,,,,,,,,,#6-15,
Caleb Wilson,North Carolina,Fr,PF,6-9,205,18.5,,,,,,,,,#5-12,
Chris Cenac Jr.,Houston,Fr,C,6-10,240,18.4,,,,,,,,,#10-20,
Braylon Mullins,UConn,So,SG,6-5,190,19.5,,,,,,,,,#15-30,
